nom_voie,id_type_voie,nom_voie_norm,complement_adresse,Unnamed: 5
RoutedeKescoul,route,dekescoul,,
RueduPetitPuits,rue,dupetitpuits,,
CheminFerre,chemin,ferre,,
RueLouisdesEtages,rue,louisdesetages,,
ImpasseduPontSerret,impasse,dupontserret,,
QuaidesCôteaux,quai,descoteaux,,
RuedeGrenet,rue,degrenet,,
MontéedesVignerons,montee,desvignerons,,
RuedelaBreche,rue,delabreche,,
RoutedeBlangy,route,deblangy,,
RueFragonard,rue,fragonard,,
RuedelaRépublique,rue,delarepublique,,
RuelaBasseBoissiere,rue,labasseboissiere,,
LotissementlesForgetteries,lotissement,lesforgetteries,,
RueCharlesDumoulin,rue,charlesdumoulin,,
RueduBelAir,rue,dubelair,,
RueHélèneBrion,rue,helenebrion,,
RuedesPierrières,rue,despierrieres,,
AvenueJeanNicoli,avenue,jeannicoli,,
Impassedesacacias,impasse,desacacias,,
AvenueJeanJaurés,avenue,jeanjaures,,
RoutedelaGonne,route,delagonne,,
Ruedel'AncienneScierie,rue,delanciennescierie,,
RueduMerlet,rue,dumerlet,,
RuedeBourgogne,rue,debourgogne,,
BoulevardMontmorency,boulevard,montmorency,,
RuedeSeignelay,rue,deseignelay,,
Chemind’Oubac,chemin,doubac,,
RueduMontois,rue,dumontois,,
RuedesPetitesBrosses,rue,despetitesbrosses,,
DomainedeVilleneuve,domaine,devilleneuve,,
RueFrancoisRolland,rue,francoisrolland,,
ChemindeCrépieux,chemin,decrepieux,,
RueduParadis,rue,duparadis,,
RuelesRoches,rue,lesroches,,
RuedesPradets,rue,despradets,,
RueErnestRenan,rue,ernestrenan,,
RoutedelaChambéronie,route,delachamberonie,,
ChemindeRouanàlaMégère,chemin,derouanalamegere,,
RuedesFreresBouhour,rue,desfreresbouhour,,
RuePigeonRamier,rue,pigeonramier,,
RueduVieilArmand,rue,duvieilarmand,,
RuelledeFronton,ruelle,defronton,,
RuedelaCenseauxMoines,rue,delacenseauxmoines,,
RueduFouràChaux,rue,dufourachaux,,
rueCordemoy,rue,cordemoy,,
RuedeRumersheim,rue,derumersheim,,
Ruedel'Iled'Elbe,rue,deliledelbe,,
RueLouisBarthou,rue,louisbarthou,,
Ruedel'Ecole,rue,delecole,,
RueLabarrere,rue,labarrere,,
ImpassedesPaquerettes,impasse,despaquerettes,,
routederocdecouloum,route,derocdecouloum,,
LotissementleBoisdeLion,lotissement,leboisdelion,,
ChemindeBreolles,chemin,debreolles,,
Routed'Auvignac,route,dauvignac,,
RueduMont,rue,dumont,,
Ruedu18Juin,rue,du18juin,,
LaGrandevière,,lagrandeviere,,
RouteduCombal,route,ducombal,,
ChemindeBoutines,chemin,deboutines,,
ImpasseWilson,impasse,wilson,,
RueLakanal,rue,lakanal,,
RuedelaMécanique,rue,delamecanique,,
RueÉtienneDolet,rue,etiennedolet,,
rueduchambeyron,rue,duchambeyron,,
RuedesBasFossés,rue,desbasfosses,,
LesPinsonnieres,,lespinsonnieres,,
ChemindeGaillarde,chemin,degaillarde,,
QuaiduPréLong,quai,duprelong,,
RueLouiseMichel,rue,louisemichel,,
RuedesEcoliers,rue,desecoliers,,
RueCamilleSaintSaens,rue,camillesaintsaens,,
RuedelaBejauderie,rue,delabejauderie,,
ClosdesGuichets,clos,desguichets,,
RueFoundiSalim,rue,foundisalim,,
RuedeNeufgrange,rue,deneufgrange,,
Ruealbertmorin,rue,albertmorin,,
Rueaugusterenoir,rue,augusterenoir,,
RuedesBachats,rue,desbachats,,
Alléedel'Emporey,allee,delemporey,,
RuedesVauxCreux,rue,desvauxcreux,,
Ruelejeune,rue,lejeune,,
RueduPrésidentDeGaulle,rue,dupresidentdegaulle,,
RouteduGrandMarchais,route,dugrandmarchais,,
RuedeMontplaisir,rue,demontplaisir,,
RuedeCrocé,rue,decroce,,
Ruedel'océan,rue,delocean,,
ruedeKerbiaouen,rue,dekerbiaouen,,
RuePaulLangevin,rue,paullangevin,,
ChemindesRousses,chemin,desrousses,,
RuedesPierresJumelles,rue,despierresjumelles,,
LotissementdelaRecluse,lotissement,delarecluse,,
ImpassePierreBouchard,impasse,pierrebouchard,,
RueLasserre,rue,lasserre,,
RuedesGauchons,rue,desgauchons,,
RuedesFromentieres,rue,desfromentieres,,
AlléeMillepertuis,allee,millepertuis,,
RueduVieuxHangot,rue,duvieuxhangot,,
RuedesAlambics,rue,desalambics,,
RueBarbes,rue,barbes,,
AvenueduGénéraldeGaulle,avenue,dugeneraldegaulle,,
RuedeLicques,rue,delicques,,
Impassed’Embonne,impasse,dembonne,,
RuedelaLiberté,rue,delaliberte,,
RueLeonBohard,rue,leonbohard,,
RuedelaCîme,rue,delacime,,
RueduCheminBas,rue,ducheminbas,,
Chemindel'Argentière,chemin,delargentiere,,
RuePaulValéry,rue,paulvalery,,
AvenueduFronsadais,avenue,dufronsadais,,
RouteHenriLabarthe,route,henrilabarthe,,
RuedeMalherbe,rue,demalherbe,,
RueSaintRémi,rue,saintremi,,
ChemindelaMasse,chemin,delamasse,,
RueAugusteRenoir,rue,augusterenoir,,
RueCharlesRobin,rue,charlesrobin,,
AlléeBelAir,allee,belair,,
RuedelaBeauce,rue,delabeauce,,
RueJeanMartin,rue,jeanmartin,,
RuedeBise,rue,debise,,
Ruedu8Mai,rue,du8mai,,
AlleedesVieillesPierres,allee,desvieillespierres,,
RoutedeBonhuaud,route,debonhuaud,,
AvenuedeRoanne,avenue,deroanne,,
ImpassedesMarguerites,impasse,desmarguerites,,
BoulevardEmileZola,boulevard,emilezola,,
RouteDépartementale340,routedepartementale,340,,
RuedelaProcession,rue,delaprocession,,
ChemindelaRoche,chemin,delaroche,,
RueJeanAugier,rue,jeanaugier,,
AvenuedesCostilles(LaCombelle),avenue,descostilleslacombelle,,
RueElieSermet,rue,eliesermet,,
RueGustaveRey,rue,gustaverey,,
RueduLarris,rue,dularris,,
RuedeSalm,rue,desalm,,
RuedelaDysse,rue,deladysse,,
RuedelaCommunette,rue,delacommunette,,
ShlmrChaperonVert,,shlmrchaperonvert,,
ChemindelaMaredesBois,chemin,delamaredesbois,,
RueCésariaEvora,rue,cesariaevora,,
RueGastonPhoebus,rue,gastonphoebus,,
Impassedesbourrelières,impasse,desbourrelieres,,
RuedesChevaliersdeMalte,rue,deschevaliersdemalte,,
RuedesPoilus,rue,despoilus,,
AvenueLoysLabèque,avenue,loyslabeque,,
RuedelaDordogne,rue,deladordogne,,
Impassedel'Eglise,impasse,deleglise,,
RuedelaCitadelle,rue,delacitadelle,,
RuedesBrasseries,rue,desbrasseries,,
routedumoulindupont,route,dumoulindupont,,
RoutedeMeigné,route,demeigne,,
RueJulesViejo,rue,julesviejo,,
RueFélixJonc,rue,felixjonc,,
RuedeReims,rue,dereims,,
Chemindel’Etablissement,chemin,deletablissement,,
RueJeanBaptisteBurlot,rue,jeanbaptisteburlot,,
RuedeChatillon,rue,dechatillon,,
RouteduChampCarre,route,duchampcarre,,
RuedelaParondelle,rue,delaparondelle,,
RuedesBoisd’Oiseaux,rue,desboisdoiseaux,,
RuedesMarronniers,rue,desmarronniers,,
ImpassedesCoqs,impasse,descoqs,,
RueVirgilGrissom,rue,virgilgrissom,,
RueVincentSeveno,rue,vincentseveno,,
RoutedeLabège,route,delabege,,
RuedeBagdad,rue,debagdad,,
AvenueFrançoisMitterrand,avenue,francoismitterrand,,
LaPitardais,,lapitardais,,
LotissementdelaCigalièreI,lotissement,delacigalierei,,
RuedelaFiogère,rue,delafiogere,,
RueBayard,rue,bayard,,
ChemindeCroas-Guiguin,chemin,decroasguiguin,,
RueChanteAlouette,rue,chantealouette,,
RuedeFerrières,rue,deferrieres,,
RueduPrésidentKennedy,rue,dupresidentkennedy,,
LaRabacherie,,larabacherie,,
chemindeKerezoun,chemin,dekerezoun,,
CheminPeyrat,chemin,peyrat,,
RueRobertdeMassy,rue,robertdemassy,,
Avenue-jean-bouin,avenue,jeanbouin,,
RouteduMassot,route,dumassot,,
RueMarat,rue,marat,,
ResidenceMauriceDuros,residence,mauriceduros,,
RueLavoisier,rue,lavoisier,,
BoulevarddesMarins,boulevard,desmarins,,
Rued'Haillicourt,rue,dhaillicourt,,
RueFrancoiseLeroux,rue,francoiseleroux,,
RoutedelaRampinsole,route,delarampinsole,,
RuePierreMendesFrance,rue,pierremendesfrance,,
RuedeDietwiller,rue,dedietwiller,,
ImpassedesPivoines,impasse,despivoines,,
AlléedeFontebride,allee,defontebride,,
CitédesPommiers,cite,despommiers,,
RueSainteCatherine,rue,saintecatherine,,
RuedelaVieilleÉglise,rue,delavieilleeglise,,
RueFrancisPicabia,rue,francispicabia,,
RuedesQuatreVentsPiblange,rue,desquatreventspiblange,,
RuedeMontgermont,rue,demontgermont,,
RuedesBournalières,rue,desbournalieres,,
RouteduParc,route,duparc,,
RueBoudondeSaint-Amans,rue,boudondesaintamans,,
ChemindesBrandes,chemin,desbrandes,,
RoutelaCastellière-Giéville,route,lacastellieregieville,,
RuedeNantes,rue,denantes,,
RueJacquiBrixhe,rue,jacquibrixhe,,
RoutedesCroisieres,route,descroisieres,,
LotissementlesMasdelaChesnaie,lotissement,lesmasdelachesnaie,,
RuedelaCoutibe,rue,delacoutibe,,
Territoriale40,,territoriale40,,
RoutedeBlessy,route,deblessy,,
RueCharlesMaréchal,rue,charlesmarechal,,
RuedelaCroixdePierre(Botz-en-Mauges),rue,delacroixdepierrebotzenmauges,,
AvenueMarceau,avenue,marceau,,
ChemindeFruges,chemin,defruges,,
RoutedeMarssac,route,demarssac,,
Chemindel’Indivis,chemin,delindivis,,
RueFlamentReboux,rue,flamentreboux,,
RuedesBruyeres,rue,desbruyeres,,
RueEugenieRoubaud,rue,eugenieroubaud,,
VoieAurelienne,voie,aurelienne,,
RouteduPuy,route,dupuy,,
RueSamueldeChamplain,rue,samueldechamplain,,
ImpasseVoltaire,impasse,voltaire,,
ImpassedelaCherpree,impasse,delacherpree,,
RoutedelaRibeyre,route,delaribeyre,,
RueEmileCuricque,rue,emilecuricque,,
Ruedel'Humanite,rue,delhumanite,,
BoulevardFrançoisGrosso,boulevard,francoisgrosso,,
Placed'EnFabre,place,denfabre,,
RuedelaChastre,rue,delachastre,,
RueduMoulinFagot,rue,dumoulinfagot,,
RueduTapisVert,rue,dutapisvert,,
RueRacine,rue,racine,,
RuedesCaminis,rue,descaminis,,
AlléeGeorgesGiraud,allee,georgesgiraud,,
RuedesChêneteaux,rue,descheneteaux,,
RuedesCamélias,rue,descamelias,,
CheminduRéservoir,chemin,dureservoir,,
PlaceMontfort,place,montfort,,
RueduHautBout,rue,duhautbout,,
RueduRelais,rue,durelais,,
AvenuedeMonplaisir,avenue,demonplaisir,,
RueFresnel,rue,fresnel,,
RueduTalhouët,rue,dutalhouet,,
Rued’Offenheim,rue,doffenheim,,
Ruedesérables,rue,deserables,,
RoutedeFournet,route,defournet,,
RoutedeSaint-Jean,route,desaintjean,,
RuedelaRasclose,rue,delarasclose,,
RueJoseMariadeHeredia,rue,josemariadeheredia,,
RueduDomainedesNoyers,rue,dudomainedesnoyers,,
RuedelaBaronnie,rue,delabaronnie,,
Alzone,,alzone,,
RouteSaintPierredeSoulan,route,saintpierredesoulan,,
leBuffant,,lebuffant,,
RuePascal,rue,pascal,,
LaGreeauxMoines,,lagreeauxmoines,,
ValleedelaSaire,vallee,delasaire,,
RueduMarais,rue,dumarais,,
ImpassedeThizon,impasse,dethizon,,
RueAndréFoucart,rue,andrefoucart,,
RoutedelaCroixRosier,route,delacroixrosier,,
RueduDocteurCharcot,rue,dudocteurcharcot,,
CheminduMaraisduFreney,chemin,dumaraisdufreney,,
RuedeGrainloup,rue,degrainloup,,
ChemindeCalvisson,chemin,decalvisson,,
RueduGénéraldeGaulle,rue,dugeneraldegaulle,,
Labourdonnade,,labourdonnade,,
RueEugénieCotton,rue,eugeniecotton,,
Cavone,,cavone,,
RueVercingétorix,rue,vercingetorix,,
avenueRauski,avenue,rauski,,
AvenueMeissonier,avenue,meissonier,,
PlaceduJeudeTamis,place,dujeudetamis,,
RuedesRelaisdePoste,rue,desrelaisdeposte,,
AvenueBocquet,avenue,bocquet,,
RueLeonardRobert,rue,leonardrobert,,
RueMonplaisir,rue,monplaisir,,
RouteduPontd'Oye,route,dupontdoye,,
VillaJeanPierre,villa,jeanpierre,,
ChemindesLaboureurs,chemin,deslaboureurs,,
RoutedeNoyal-Muzillac,route,denoyalmuzillac,,
ChemindesFouillies,chemin,desfouillies,,
RueLouisGalliac,rue,louisgalliac,,
RueLouisSzarek,rue,louisszarek,,
AlléedesPlatanes,allee,desplatanes,,
RueduCouédic,rue,ducouedic,,
PlaceMontmorencyLuxembourg,place,montmorencyluxembourg,,
Avenuedel'Adour,avenue,deladour,,
AvenueduGénéralLeclerc,avenue,dugeneralleclerc,,
RouteduChateauGaillard,route,duchateaugaillard,,
RoutedeMalagar,route,demalagar,,
Boucledel’Atrium,boucle,delatrium,,
CheminduSouterrain,chemin,dusouterrain,,
RueMonfi,rue,monfi,,
RueGabrielPéri,rue,gabrielperi,,
RueJulesSerroen,rue,julesserroen,,
RueAugustinNormand,rue,augustinnormand,,
Goasmelcun,,goasmelcun,,
RouteFontaineSaintRemède,route,fontainesaintremede,,
RueEmileBeaufils,rue,emilebeaufils,,
RueJacquesKablé,rue,jacqueskable,,
RueEricTabarly,rue,erictabarly,,
RuedelaDéportation,rue,deladeportation,,
RueAlainFournier,rue,alainfournier,,
ChemindePicane,chemin,depicane,,
RuedeVerdondaine,rue,deverdondaine,,
VillageAragon,village,aragon,,
RueFlaretLandin,rue,flaretlandin,,
AvenueComtessedeSégur,avenue,comtessedesegur,,
PlaceRogerNoirot/LesCorvées,place,rogernoirotlescorvees,,
RuedesGlaieuls,rue,desglaieuls,,
Rued'Enguera,rue,denguera,,
RueduMarquisdeJuigné,rue,dumarquisdejuigne,,
Ruedeslilas,rue,deslilas,,
RouteduTanargue,route,dutanargue,,
routedesquatrevents,route,desquatrevents,,
RuedesPaquerettes,rue,despaquerettes,,
RuedesTulipes,rue,destulipes,,
Ruedel’AulnayMallo,rue,delaulnaymallo,,
RuedelaDigue,rue,deladigue,,
GrandRue,granderue,,,
LeClosduFort,clos,dufort,,
GrandeRue,granderue,,,
LeDomaineduGolf,domaine,dugolf,,
Grand'Rue,granderue,,,
Grand-rue,granderue,,,
LaFosse,fosse,,,
LesJardinsdeMonIdee,jardins,demonidee,,
PreVert,pre,vert,,
LieuditChezBiron,lieudit,chezbiron,,
VoieCommunaleLdtClairiereduParc,voiecommunale,ldtclairiereduparc,,
GrandeRuedelaVandenesse,granderue,delavandenesse,,
AncienneRoutedeSarrians,ancienneroute,desarrians,,
lieu-ditVironne,lieudit,vironne,,
LieuDitlaGreonais,lieudit,lagreonais,,
LieuDitBarreyre,lieudit,barreyre,,
LieuDitl’Angisiere,lieudit,langisiere,,
VieuxCheminduRetenaou,vieuxchemin,duretenaou,,
RésidencesduLac,residences,dulac,,
VoieCommunaleHamdelaJonquePortSud,voiecommunale,hamdelajonqueportsud,,
LieuDitPourhors,lieudit,pourhors,,
LieuDitlesChampsVieux,lieudit,leschampsvieux,,
EntreedesDiamants,entree,desdiamants,,
RueBdPaulBarre,rue,boulevardpaulbarre,,
RueArMen,rue,armen,,'voie_norm='armen'
RouteNationale,routenationale,,,
